ccyy,tot_inc,tot_L,tot_K,tot_S,tot_IR,b50_L,b50_K,b50_S,b50_IR,m40_L,m40_K,m40_S,m40_IR,t10_L,t10_K,t10_S,t10_IR,t1_L,t1_K,t1_S,t1_IR,defl,totw,mean_toti,nprs,waven
ee07,8.805e+10,8.713e+10,9.254e+08,1.835e+09,2.008e+10,1.000e+10,57240252,6.291e+08,8.031e+09,5.025e+10,2.359e+08,6.582e+08,8.744e+09,2.688e+10,6.323e+08,5.473e+08,3.304e+09,4.988e+09,3.600e+08,3.312e+08,5.161e+08,1,583991.13,152613.75,2.2770364,7
ee10,8.378e+10,8.288e+10,9.020e+08,2.072e+09,9.977e+09,7.505e+09,63098984,6.688e+08,4.049e+09,4.815e+10,5.032e+08,1.155e+09,4.330e+09,2.722e+10,3.357e+08,2.483e+08,1.599e+09,5.163e+09,1.302e+08,15031729,2.938e+08,1,585242.31,144606.19,2.2695882,8
ee13,6.872e+09,7.131e+09,1.033e+08,2.081e+08,5.620e+08,8.113e+08,9435765,28100748,2.370e+08,3.919e+09,41300688,1.030e+08,2.311e+08,2.401e+09,52577840,76992024,93890800,4.687e+08,20262464,38521744,17266544,1,582070.19,12206.552,2.2392488,9
es00,3.652e+13,3.531e+13,1.223e+12,7.483e+12,0,3.461e+12,3.638e+11,5.814e+11,0,2.013e+13,4.220e+11,3.466e+12,0,1.172e+13,4.373e+11,3.436e+12,0,2.671e+12,2.317e+11,1.379e+12,0,1,14226772,2657934.6,2.8851869,5
es04,2.573e+11,2.493e+11,7.970e+09,2.565e+10,7.375e+10,3.380e+10,1.818e+09,5.838e+09,3.141e+10,1.451e+11,2.612e+09,1.208e+10,3.173e+10,7.037e+10,3.540e+09,7.729e+09,1.061e+10,1.253e+10,1.660e+09,3.335e+09,1.644e+09,1,15141301,16991.182,2.8315911,6
es07,4.067e+11,3.932e+11,1.356e+10,3.970e+10,8.595e+10,5.272e+10,3.772e+09,7.375e+09,4.004e+10,2.265e+11,5.277e+09,2.179e+10,3.583e+10,1.140e+11,4.508e+09,1.053e+10,1.008e+10,2.068e+10,1.194e+09,4.136e+09,1.356e+09,1,16580451,24722.45,2.7206416,7
es10,3.655e+11,3.544e+11,1.110e+10,3.463e+10,8.781e+10,2.979e+10,2.514e+09,3.075e+09,4.090e+10,2.102e+11,4.924e+09,1.421e+10,3.677e+10,1.144e+11,3.666e+09,1.735e+10,1.015e+10,1.991e+10,8.130e+08,3.106e+09,1.271e+09,1,17279166,21518.648,2.6563942,8
es13,4.079e+11,3.762e+11,3.173e+10,3.821e+10,8.493e+10,2.929e+10,8.533e+09,4.456e+09,4.043e+10,2.150e+11,1.344e+10,2.070e+10,3.469e+10,1.319e+11,9.753e+09,1.305e+10,9.810e+09,2.537e+10,2.998e+09,2.856e+09,1.325e+09,1,18266464,22331.392,2.5169976,9
es80,5.288e+12,5.178e+12,1.100e+11,1.033e+12,0,9.064e+11,2.032e+10,2.516e+11,0,2.873e+12,2.385e+10,4.942e+11,0,1.399e+12,6.584e+10,2.868e+11,0,2.655e+11,5.061e+10,9.479e+10,0,1,9779941,541433.58,3.7016418,1
es85,8.914e+12,8.712e+12,2.017e+11,1.836e+12,1.784e+12,1.418e+12,6.601e+10,4.387e+11,6.453e+11,4.813e+12,5.514e+10,9.785e+11,8.016e+11,2.482e+12,8.059e+10,4.185e+11,3.376e+11,4.830e+11,4.867e+10,1.132e+11,6.828e+10,1,10461066,852132.63,3.6293011,2
es90,1.578e+13,1.551e+13,2.768e+11,2.954e+12,3.805e+12,2.345e+12,9.209e+10,4.491e+11,1.508e+12,8.792e+12,7.095e+10,1.622e+12,1.660e+12,4.368e+12,1.138e+11,8.830e+11,6.371e+11,8.685e+11,5.842e+10,1.840e+11,1.152e+11,1,11297006,1397068.4,3.4071856,3
es95,2.489e+13,2.392e+13,9.716e+11,4.553e+12,0,2.129e+12,2.513e+11,4.514e+11,0,1.387e+13,3.336e+11,2.337e+12,0,7.920e+12,3.867e+11,1.765e+12,0,1.653e+12,1.465e+11,6.319e+11,0,1,12790003,1961978.4,3.1134131,4
fi00,3.531e+11,3.264e+11,2.664e+10,3.110e+10,3.095e+10,3.114e+10,3.661e+09,3.406e+09,1.287e+10,1.980e+11,5.801e+09,1.498e+10,1.291e+10,9.728e+10,1.718e+10,1.271e+10,5.167e+09,1.701e+10,1.150e+10,3.650e+09,8.524e+08,1,2373000,148786.45,2.1513641,5
fi04,7.079e+10,6.362e+10,7.164e+09,5.296e+09,6.567e+09,5.865e+09,8.046e+08,5.945e+08,2.634e+09,3.900e+10,1.281e+09,2.767e+09,2.801e+09,1.875e+10,5.079e+09,1.934e+09,1.132e+09,3.022e+09,3.552e+09,4.026e+08,1.752e+08,1,2414999.5,29311.255,2.1369634,6
fi07,8.049e+10,7.415e+10,6.335e+09,6.462e+09,9.838e+09,7.042e+09,1.062e+09,6.835e+08,3.502e+09,4.446e+10,1.637e+09,3.104e+09,4.476e+09,2.265e+10,3.636e+09,2.675e+09,1.860e+09,3.931e+09,2.188e+09,7.843e+08,2.798e+08,1,2483499.5,32409.47,2.1027005,7
fi10,8.573e+10,7.895e+10,6.780e+09,5.962e+09,1.152e+10,6.416e+09,1.075e+09,6.691e+08,4.208e+09,4.826e+10,1.903e+09,3.297e+09,5.184e+09,2.427e+10,3.802e+09,1.996e+09,2.124e+09,4.065e+09,2.430e+09,5.692e+08,3.381e+08,1,2550999.5,33606.666,2.0755231,8
fi13,9.372e+10,8.649e+10,7.232e+09,6.158e+09,1.365e+10,6.171e+09,1.200e+09,7.642e+08,4.988e+09,5.273e+10,2.111e+09,3.317e+09,6.089e+09,2.758e+10,3.921e+09,2.077e+09,2.569e+09,4.841e+09,2.202e+09,4.248e+08,4.082e+08,1,2622499.5,35736.113,2.0480106,9
fi87,2.045e+11,1.996e+11,4.896e+09,2.016e+10,8.914e+09,2.919e+10,1.457e+09,2.798e+09,3.980e+09,1.171e+11,1.721e+09,1.009e+10,3.681e+09,5.331e+10,1.718e+09,7.272e+09,1.253e+09,9.748e+09,6.687e+08,2.360e+09,1.937e+08,1,2082257.5,98218.207,2.3434393,2
fi91,2.720e+11,2.613e+11,1.071e+10,2.560e+10,1.770e+10,3.390e+10,3.278e+09,3.191e+09,8.292e+09,1.559e+11,3.767e+09,1.277e+10,6.884e+09,7.155e+10,3.666e+09,9.637e+09,2.521e+09,1.262e+10,1.240e+09,3.163e+09,4.095e+08,1,2200190.3,123638.56,2.2706933,3
fi95,2.566e+11,2.451e+11,1.154e+10,2.833e+10,2.041e+10,1.897e+10,2.313e+09,3.338e+09,9.450e+09,1.510e+11,2.786e+09,1.391e+10,7.575e+09,7.506e+10,6.437e+09,1.108e+10,3.385e+09,1.273e+10,3.942e+09,2.941e+09,4.931e+08,1,2290100,112048.78,2.2064872,4
fr00,3.043e+12,2.841e+12,2.025e+11,2.668e+11,5.707e+11,2.645e+11,6.253e+10,2.004e+10,2.570e+11,1.661e+12,7.012e+10,9.430e+10,2.328e+11,9.152e+11,6.987e+10,1.525e+11,8.091e+10,1.883e+11,2.723e+10,6.058e+10,1.192e+10,1,24522572,124100.28,2.4243083,5
fr05,5.003e+11,4.636e+11,3.665e+10,4.170e+10,9.338e+10,4.036e+10,1.104e+10,6.179e+09,4.010e+10,2.765e+11,1.252e+10,1.620e+10,3.867e+10,1.468e+11,1.308e+10,1.932e+10,1.461e+10,3.008e+10,4.226e+09,8.002e+09,2.043e+09,1,24918384,20077.119,2.3877809,6
fr10,6.605e+11,6.248e+11,3.571e+10,7.196e+10,1.745e+11,4.791e+10,1.088e+10,8.292e+09,7.154e+10,3.589e+11,1.446e+10,2.300e+10,7.138e+10,2.180e+11,1.037e+10,4.066e+10,3.157e+10,5.623e+10,2.362e+09,2.202e+10,4.982e+09,1,28524272,23155.608,2.2364671,8
fr78,8.411e+11,8.204e+11,2.071e+10,9.277e+10,0,7.418e+10,5.994e+09,9.788e+09,0,4.790e+11,7.406e+09,3.796e+10,0,2.672e+11,7.307e+09,4.502e+10,0,6.413e+10,2.547e+09,2.188e+10,0,1,18864648,49926.727,2.8124762,0
fr84,1.683e+12,1.625e+12,5.772e+10,1.204e+11,0,1.421e+11,1.851e+10,1.875e+10,0,8.948e+11,2.018e+10,5.071e+10,0,5.885e+11,1.903e+10,5.098e+10,0,1.941e+11,5.629e+09,1.279e+10,0,1,20325672,85136.755,2.6884248,2
fr89,1.922e+12,1.832e+12,9.057e+10,2.019e+11,0,1.526e+11,2.256e+10,2.063e+10,0,1.083e+12,2.995e+10,7.881e+10,0,5.962e+11,3.805e+10,1.025e+11,0,1.262e+11,1.726e+10,4.394e+10,0,1,21201890,93822.563,2.577987,3
fr94,2.673e+12,2.471e+12,2.013e+11,3.180e+11,0,2.146e+11,6.329e+10,2.215e+10,0,1.429e+12,7.430e+10,1.134e+11,0,8.275e+11,6.367e+10,1.824e+11,0,1.902e+11,2.116e+10,7.845e+10,0,1,23155000,115425.51,2.4681306,4
gr00,1.434e+13,1.344e+13,9.020e+11,4.382e+12,0,1.206e+12,2.306e+11,5.678e+11,0,7.894e+12,3.735e+11,2.346e+12,0,4.338e+12,2.979e+11,1.468e+12,0,8.841e+11,8.484e+10,5.847e+11,0,1,3800249.8,3787699.8,2.7844262,5
gr04,6.082e+10,5.706e+10,3.761e+09,1.918e+10,1.347e+10,6.226e+09,8.398e+08,2.303e+09,5.542e+09,3.278e+10,1.567e+09,8.870e+09,5.823e+09,1.806e+10,1.354e+09,8.008e+09,2.107e+09,3.856e+09,2.787e+08,2.595e+09,3.713e+08,1,3995523,15222.7,2.668731,6
gr07,9.232e+10,8.687e+10,5.446e+09,2.678e+10,1.530e+10,8.536e+09,9.979e+08,3.284e+09,6.572e+09,4.870e+10,2.208e+09,1.269e+10,6.460e+09,2.963e+10,2.240e+09,1.080e+10,2.264e+09,7.157e+09,5.891e+08,4.398e+09,3.661e+08,1,4072175,22979.099,2.6666391,7
gr10,8.117e+10,7.659e+10,4.584e+09,2.314e+10,1.616e+10,5.414e+09,8.662e+08,2.114e+09,7.051e+09,4.369e+10,1.758e+09,1.096e+10,6.626e+09,2.748e+10,1.960e+09,1.006e+10,2.484e+09,6.417e+09,5.325e+08,4.051e+09,4.654e+08,1,4154528,20114.21,2.6455982,8
gr13,5.592e+10,5.293e+10,3.016e+09,1.714e+10,1.391e+10,2.220e+09,7.238e+08,1.064e+09,6.568e+09,3.000e+10,1.297e+09,8.497e+09,5.411e+09,2.071e+10,9.948e+08,7.579e+09,1.931e+09,5.369e+09,2.112e+08,3.169e+09,3.376e+08,1,4266745,13270.709,2.527761,9
gr95,9.857e+12,9.084e+12,7.847e+11,3.347e+12,0,8.660e+11,1.521e+11,4.591e+11,0,5.314e+12,3.518e+11,1.719e+12,0,2.904e+12,2.809e+11,1.169e+12,0,6.172e+11,7.609e+10,4.232e+11,0,1,3780737.3,2627052.9,2.7717927,4
hu05,4.635e+12,4.584e+12,5.041e+10,9.848e+11,0,2.683e+11,6.697e+09,2.804e+10,0,2.657e+12,1.741e+10,3.116e+11,0,1.659e+12,2.631e+10,6.452e+11,0,3.770e+11,1.336e+10,2.232e+11,0,1,3943282.5,1192542.1,2.5505714,6
hu07,4.945e+12,4.923e+12,2.342e+10,7.308e+11,0,3.326e+11,8.201e+09,4.404e+10,0,2.854e+12,8.233e+09,2.273e+11,0,1.737e+12,6.988e+09,4.594e+11,0,3.989e+11,3.949e+09,2.266e+11,0,1,4018048,1263234.8,2.4972892,7
hu09,5.126e+12,5.093e+12,3.309e+10,8.293e+11,0,2.584e+11,5.626e+09,3.542e+10,0,3.020e+12,4.130e+09,2.932e+11,0,1.814e+12,2.334e+10,5.007e+11,0,3.530e+11,1.280e+10,1.736e+11,0,1,4048910.5,1288510.8,2.4715705,8
hu12,6.084e+12,6.057e+12,2.660e+10,8.391e+11,0,2.824e+11,7.293e+09,4.111e+10,0,3.652e+12,9.920e+09,3.348e+11,0,2.122e+12,9.382e+09,4.632e+11,0,4.832e+11,6.592e+08,2.150e+11,0,1,4077407,1509553.8,2.4423494,9
hu15,8.450e+12,8.398e+12,5.184e+10,1.472e+12,0,8.148e+11,1.106e+10,5.839e+10,0,4.881e+12,1.713e+10,4.732e+11,0,2.702e+12,2.365e+10,9.401e+11,0,5.638e+11,3.528e+09,3.468e+11,0,1,4187258.8,2017927.5,2.363728,10
hu91,7.762e+11,7.700e+11,6.215e+09,7.818e+10,0,8.359e+10,6.525e+08,1.615e+10,0,4.366e+11,3.172e+09,3.389e+10,0,2.498e+11,2.391e+09,2.813e+10,0,5.733e+10,3.329e+08,7.097e+09,0,1,3584710,216527.4,2.8964834,3
hu94,1.167e+12,1.155e+12,1.153e+10,9.947e+10,0,7.628e+10,1.456e+09,2.234e+10,0,6.504e+11,3.233e+09,4.671e+10,0,4.288e+11,6.836e+09,3.043e+10,0,9.810e+10,1.699e+09,5.629e+09,0,1,3794899.8,308228.97,2.6394134,4
hu99,2.426e+12,2.347e+12,7.997e+10,4.486e+11,0,1.492e+11,1.889e+10,4.887e+10,0,1.360e+12,2.981e+10,1.938e+11,0,8.375e+11,3.126e+10,2.060e+11,0,1.905e+11,5.582e+09,5.582e+10,0,1,3898576.3,628859.17,2.6090577,5
it00,6.324e+14,5.727e+14,5.967e+13,1.531e+14,9.398e+13,6.274e+13,1.123e+13,1.472e+13,3.569e+13,3.386e+14,1.982e+13,7.181e+13,4.029e+13,1.714e+14,2.862e+13,6.660e+13,1.799e+13,3.638e+13,1.045e+13,2.285e+13,3.935e+12,1,20848180,30335274,2.7167313,5
it04,3.788e+11,3.630e+11,1.583e+10,9.923e+10,1.243e+11,3.639e+10,4.125e+09,6.690e+09,5.273e+10,2.047e+11,5.765e+09,3.790e+10,5.133e+10,1.220e+11,5.943e+09,5.464e+10,2.025e+10,3.305e+10,2.114e+09,2.665e+10,3.389e+09,1,22125650,17121.815,2.5856152,6
it08,4.257e+11,4.000e+11,2.570e+10,9.711e+10,1.473e+11,4.159e+10,6.107e+09,6.496e+09,6.185e+10,2.340e+11,9.068e+09,4.154e+10,6.041e+10,1.243e+11,1.053e+10,4.907e+10,2.508e+10,2.710e+10,3.544e+09,1.487e+10,4.637e+09,1,23412170,18181.071,2.4927039,7
it10,4.216e+11,4.042e+11,1.740e+10,9.771e+10,1.620e+11,3.858e+10,4.536e+09,7.528e+09,6.737e+10,2.406e+11,5.029e+09,4.148e+10,6.412e+10,1.250e+11,7.836e+09,4.870e+10,3.046e+10,2.611e+10,2.590e+09,1.557e+10,4.952e+09,1,23611100,17854.844,2.4943433,8
it14,4.055e+11,3.891e+11,1.645e+10,8.634e+10,1.468e+11,3.036e+10,5.025e+09,6.259e+09,6.432e+10,2.308e+11,5.703e+09,3.657e+10,5.831e+10,1.279e+11,5.721e+09,4.351e+10,2.421e+10,2.821e+10,2.194e+09,1.832e+10,4.517e+09,1,24572496,16503.158,2.4614227,9
it86,3.324e+14,3.132e+14,1.914e+13,8.568e+13,4.909e+13,4.883e+13,3.365e+12,1.043e+13,1.738e+13,1.797e+14,7.266e+12,3.987e+13,2.034e+13,8.466e+13,8.512e+12,3.539e+13,1.137e+13,1.835e+13,2.447e+12,1.334e+13,2.307e+12,1,20375790,16311853,3.0779626,2
it87,3.500e+14,3.235e+14,2.650e+13,9.587e+13,6.044e+13,4.225e+13,4.970e+12,8.714e+12,2.240e+13,1.854e+14,1.094e+13,4.432e+13,2.538e+13,9.579e+13,1.059e+13,4.283e+13,1.266e+13,1.869e+13,2.675e+12,1.241e+13,2.783e+12,1,18723584,18692184,3.0226309,2
it89,4.342e+14,3.979e+14,3.631e+13,1.254e+14,8.455e+13,5.659e+13,7.089e+12,1.643e+13,3.364e+13,2.321e+14,1.337e+13,6.051e+13,3.483e+13,1.093e+14,1.586e+13,4.851e+13,1.608e+13,1.973e+13,6.479e+12,1.488e+13,3.139e+12,1,19504302,22264010,2.9044466,3
it91,4.841e+14,4.435e+14,4.052e+13,1.378e+14,1.031e+14,6.421e+13,9.993e+12,1.507e+13,3.965e+13,2.618e+14,1.533e+13,7.183e+13,4.518e+13,1.176e+14,1.520e+13,5.091e+13,1.827e+13,2.161e+13,6.057e+12,1.450e+13,3.427e+12,1,19629840,24659246,2.890707,3
it93,4.953e+14,4.425e+14,5.277e+13,1.243e+14,1.231e+14,4.712e+13,1.010e+13,1.485e+13,4.586e+13,2.643e+14,1.791e+13,5.704e+13,5.359e+13,1.311e+14,2.476e+13,5.246e+13,2.364e+13,2.519e+13,7.413e+12,1.881e+13,3.173e+12,1,19674968,25171832,2.8950644,4
it95,4.972e+14,4.458e+14,5.137e+13,1.061e+14,7.761e+13,4.477e+13,1.093e+13,1.131e+13,2.843e+13,2.657e+14,1.969e+13,5.159e+13,3.386e+13,1.354e+14,2.074e+13,4.321e+13,1.532e+13,2.864e+13,6.874e+12,1.592e+13,2.813e+12,1,19646300,25308123,2.8789232,4
it98,5.939e+14,5.201e+14,7.376e+13,1.415e+14,8.664e+13,4.906e+13,1.515e+13,1.102e+13,3.365e+13,3.113e+14,2.536e+13,6.010e+13,3.665e+13,1.598e+14,3.325e+13,7.035e+13,1.634e+13,3.577e+13,1.345e+13,2.750e+13,2.856e+12,1,20509670,28956281,2.7606421,5
mx00,1.590e+12,1.563e+12,2.709e+10,4.272e+11,2.842e+11,2.321e+11,2.351e+09,6.949e+10,6.914e+10,7.268e+11,9.694e+09,1.684e+11,1.161e+11,6.038e+11,1.505e+10,1.892e+11,9.900e+10,1.578e+11,6.873e+09,6.243e+10,1.878e+10,1,23484752,67698.558,4.1987858,5
mx02,1.832e+12,1.796e+12,3.628e+10,4.676e+11,3.038e+11,2.754e+11,3.905e+09,7.694e+10,9.461e+10,8.673e+11,7.121e+09,2.046e+11,1.221e+11,6.532e+11,2.525e+10,1.861e+11,8.704e+10,1.545e+11,1.143e+10,5.692e+10,2.386e+10,1,24650168,74323.809,4.1509504,5
mx04,2.130e+12,2.069e+12,6.100e+10,4.704e+11,3.567e+11,3.223e+11,5.942e+09,7.655e+10,1.036e+11,9.943e+11,1.114e+10,1.924e+11,1.445e+11,7.525e+11,4.391e+10,2.014e+11,1.087e+11,1.947e+11,3.357e+10,7.131e+10,3.489e+10,1,25561448,83333.441,4.0389457,6
mx08,2.880e+12,2.811e+12,6.972e+10,6.661e+11,4.490e+11,3.557e+11,8.332e+09,5.950e+10,1.526e+11,1.357e+12,1.865e+10,2.076e+11,1.860e+11,1.098e+12,4.273e+10,3.990e+11,1.103e+11,3.256e+11,1.837e+10,2.014e+11,2.438e+10,1,27874624,103332.78,4.0094042,7
mx10,2.790e+12,2.723e+12,6.657e+10,4.579e+11,5.465e+11,3.494e+11,7.410e+09,5.448e+10,1.971e+11,1.355e+12,2.161e+10,2.222e+11,2.261e+11,1.019e+12,3.755e+10,1.812e+11,1.234e+11,2.638e+11,1.716e+10,6.973e+10,2.872e+10,1,29556772,94392.185,3.880693,8
mx12,3.289e+12,3.218e+12,7.129e+10,6.529e+11,5.800e+11,3.985e+11,7.903e+09,5.376e+10,2.146e+11,1.586e+12,1.865e+10,2.707e+11,2.367e+11,1.233e+12,4.474e+10,3.284e+11,1.288e+11,3.676e+11,7.517e+09,1.482e+11,2.189e+10,1,31559380,104211.23,3.721545,9
mx84,7.880e+12,7.596e+12,2.841e+11,2.550e+12,1.118e+12,1.434e+12,3.347e+10,5.665e+11,3.071e+11,3.755e+12,9.490e+10,1.074e+12,5.194e+11,2.406e+12,1.558e+11,9.103e+11,2.912e+11,5.744e+11,3.418e+10,3.464e+11,5.431e+10,1,14988551,525711.96,5.1217046,2
mx89,1.659e+14,1.598e+14,6.115e+12,5.229e+13,3.128e+13,2.793e+13,4.985e+11,9.019e+12,8.767e+12,7.491e+13,1.081e+12,1.849e+13,1.339e+13,5.698e+13,4.536e+12,2.478e+13,9.122e+12,1.827e+13,2.379e+12,1.268e+13,2.086e+12,1,15955536,10399614,4.9858885,3
mx92,3.633e+14,3.577e+14,5.600e+12,1.222e+14,7.836e+13,5.644e+13,1.109e+12,1.784e+13,2.337e+13,1.594e+14,1.788e+12,4.204e+13,3.332e+13,1.419e+14,2.703e+12,6.229e+13,2.167e+13,4.544e+13,2.256e+11,3.291e+13,5.019e+12,1,17819414,20387710,4.7601948,3
mx94,4.660e+11,4.585e+11,7.514e+09,1.254e+11,1.091e+11,6.834e+10,1.059e+09,2.258e+10,3.045e+10,2.080e+11,2.462e+09,5.086e+10,4.662e+10,1.822e+11,3.992e+09,5.194e+10,3.205e+10,5.376e+10,1.084e+09,2.013e+10,6.458e+09,1,19440278,23971.159,4.6448112,4
mx96,6.451e+11,6.321e+11,1.298e+10,1.822e+11,1.322e+11,1.012e+11,1.409e+09,3.272e+10,4.085e+10,2.910e+11,3.510e+09,7.081e+10,5.594e+10,2.399e+11,8.059e+09,7.865e+10,3.544e+10,6.936e+10,5.255e+09,3.606e+10,7.305e+09,1,20467038,31517.512,4.5697861,4
mx98,1.030e+12,1.008e+12,2.210e+10,3.143e+11,1.760e+11,1.456e+11,2.173e+09,4.646e+10,5.107e+10,4.713e+11,4.487e+09,1.173e+11,7.302e+10,3.908e+11,1.544e+10,1.505e+11,5.189e+10,1.112e+11,8.175e+09,6.545e+10,1.393e+10,1,22163568,46468.643,4.3464303,5
nl04,2.349e+11,2.285e+11,6.363e+09,2.136e+10,8.831e+09,1.995e+10,2.186e+09,6.870e+08,2.518e+09,1.358e+11,2.060e+09,9.238e+09,4.424e+09,7.272e+10,2.117e+09,1.144e+10,1.889e+09,1.772e+10,1.083e+09,5.578e+09,3.296e+08,1,7090965,33120.189,2.2886577,6
nl07,2.836e+11,2.661e+11,1.748e+10,2.478e+10,9.493e+09,2.240e+10,3.736e+09,1.168e+09,2.748e+09,1.599e+11,3.738e+09,9.929e+09,4.861e+09,8.378e+10,1.001e+10,1.368e+10,1.884e+09,1.745e+10,7.381e+09,3.883e+09,3.231e+08,1,7242202,39159.852,2.2530277,7
nl10,2.953e+11,2.825e+11,1.284e+10,2.781e+10,1.031e+10,2.362e+10,3.735e+09,2.197e+09,3.354e+09,1.716e+11,3.914e+09,1.207e+10,4.992e+09,8.723e+10,5.188e+09,1.355e+10,1.965e+09,1.720e+10,2.216e+09,4.655e+09,3.157e+08,1,7443801,39670.182,2.2201397,8
nl13,2.939e+11,2.792e+11,1.471e+10,3.126e+10,1.191e+10,1.940e+10,3.786e+09,1.981e+09,3.860e+09,1.697e+11,3.841e+09,1.641e+10,5.702e+09,9.011e+10,7.083e+09,1.286e+10,2.349e+09,1.736e+10,4.519e+09,2.521e+09,3.907e+08,1,7590228,38720.162,2.1967459,9
nl83,1.997e+11,1.962e+11,3.511e+09,2.924e+10,1.043e+10,1.818e+10,1.193e+09,1.623e+09,3.018e+09,1.193e+11,1.136e+09,8.332e+09,4.850e+09,5.877e+10,1.182e+09,1.929e+10,2.564e+09,1.284e+10,91867000,7.870e+09,4.956e+08,1,5797087.5,34452.868,2.7060513,2
nl87,2.023e+11,1.992e+11,3.042e+09,2.128e+10,2.583e+09,1.693e+10,1.389e+09,8.601e+08,5.702e+08,1.212e+11,1.066e+09,6.804e+09,1.263e+09,6.110e+10,5.864e+08,1.362e+10,7.500e+08,1.325e+10,23674172,5.404e+09,1.334e+08,1,5607931.5,36069.298,2.4299412,2
nl90,2.678e+11,2.581e+11,9.686e+09,1.333e+10,0,2.212e+10,3.845e+09,1.193e+09,0,1.633e+11,3.079e+09,4.969e+09,0,7.267e+10,2.762e+09,7.171e+09,0,1.436e+10,8.144e+08,2.677e+09,0,1,6333279,42282.317,2.3811669,3
nl93,3.059e+11,2.941e+11,1.182e+10,1.837e+10,0,2.598e+10,4.429e+09,1.399e+09,0,1.858e+11,4.204e+09,6.089e+09,0,8.228e+10,3.188e+09,1.088e+10,0,1.506e+10,1.554e+09,5.174e+09,0,1,6527265.5,46860.574,2.3591695,4
nl99,3.359e+11,3.253e+11,1.063e+10,1.894e+10,0,1.691e+10,3.649e+09,1.208e+09,0,2.104e+11,3.921e+09,8.614e+09,0,9.800e+10,3.058e+09,9.122e+09,0,1.875e+10,1.084e+09,4.893e+09,0,1,6725642,57246.546,2.3521791,5
pl04,2.096e+11,2.085e+11,1.122e+09,4.226e+10,0,9.409e+09,1.360e+08,1.491e+08,0,1.204e+11,4.518e+08,1.997e+10,0,7.873e+10,5.345e+08,2.214e+10,0,1.886e+10,2.540e+08,7.668e+09,0,1,13336976,15719.111,2.8330417,6
pl07,2.847e+11,2.828e+11,1.907e+09,5.724e+10,0,2.115e+10,2.300e+08,9.746e+08,0,1.620e+11,4.823e+08,2.502e+10,0,9.963e+10,1.194e+09,3.124e+10,0,2.413e+10,6.649e+08,1.190e+10,0,1,13332283,21351.675,2.8283093,7
pl10,3.790e+11,3.770e+11,2.001e+09,6.956e+10,0,3.238e+10,3.115e+08,1.944e+09,0,2.172e+11,7.631e+08,3.451e+10,0,1.275e+11,9.262e+08,3.311e+10,0,2.916e+10,3.535e+08,1.064e+10,0,1,13332320,28429.241,2.8297024,8
pl13,4.132e+11,4.103e+11,2.829e+09,7.585e+10,0,3.116e+10,3.863e+08,-9.762e+08,0,2.361e+11,1.050e+09,3.796e+10,0,1.431e+11,1.393e+09,3.887e+10,0,3.484e+10,6.782e+08,1.529e+10,0,1,13571696,30442.958,2.8074212,9
pl16,4.509e+11,4.484e+11,2.513e+09,7.533e+10,0,3.643e+10,3.868e+08,-1.148e+09,0,2.629e+11,8.958e+08,3.919e+10,0,1.491e+11,1.230e+09,3.728e+10,0,3.245e+10,3.227e+08,1.278e+10,0,1,13571725,33224.916,2.800199,10
pl86,0,4.752e+12,0,1.353e+12,0,2.467e+12,0,7.164e+11,0,1.871e+12,0,5.243e+11,0,4.138e+11,0,1.121e+11,0,4.366e+10,0,1.239e+10,0,1,11674236,407019.03,3.212568,2
pl92,4.195e+14,4.137e+14,5.843e+12,4.605e+13,0,6.328e+13,1.074e+12,6.362e+12,0,2.394e+14,1.884e+12,1.945e+13,0,1.110e+14,2.885e+12,2.024e+13,0,2.028e+13,1.459e+12,8.471e+12,0,1,12202986,34376400,3.1443696,3
pl95,7.219e+10,7.185e+10,3.396e+08,1.579e+10,0,1.057e+09,57490400,-3.146e+09,0,4.264e+10,1.391e+08,7.613e+09,0,2.815e+10,1.430e+08,1.132e+10,0,7.523e+09,79884088,4.682e+09,0,.91515589,12624367,5718.5361,3.0576296,4
pl99,1.828e+11,1.822e+11,6.575e+08,3.784e+10,0,1.675e+10,1.584e+08,2.341e+09,0,1.058e+11,2.377e+08,1.922e+10,0,5.966e+10,2.614e+08,1.628e+10,0,1.389e+10,68630672,5.568e+09,0,.95446265,12491808,14636.422,3.0952716,5
se00,9.689e+11,9.097e+11,5.922e+10,2.990e+10,0,7.605e+10,1.502e+10,2.401e+09,0,5.414e+11,1.697e+10,1.858e+10,0,2.923e+11,2.722e+10,8.919e+09,0,6.205e+10,1.725e+10,2.379e+09,0,1,4327272.5,223906.79,2.0064919,5
se05,1.146e+12,1.085e+12,6.099e+10,3.672e+10,0,9.820e+10,1.870e+10,5.465e+09,0,6.443e+11,1.747e+10,2.106e+10,0,3.422e+11,2.482e+10,1.019e+10,0,7.100e+10,1.452e+10,2.410e+09,0,1,4440934,257982.65,2.0000803,6
se67,6.755e+10,6.631e+10,1.246e+09,0,0,8.481e+09,4.278e+08,0,0,3.846e+10,4.217e+08,0,0,1.936e+10,3.962e+08,0,0,4.220e+09,1.501e+08,0,0,1,3606684,18729.476,2.1814861,0
