ccyy,totI,tot_L,tot_K,tot_S,t10_L,t10_K,t10_S,t1_L,t1_K,t1_S,defl,totw,mean_toti,nprs
se00,1.367e+12,9.097e+11,5.922e+10,2.990e+10,2.923e+11,2.722e+10,8.919e+09,6.205e+10,1.725e+10,2.379e+09,1,4327272.5,315865.24,2.0064919,
se05,1.662e+12,1.085e+12,6.099e+10,3.672e+10,3.422e+11,2.482e+10,1.019e+10,7.100e+10,1.452e+10,2.410e+09,1,4440934,374186.8,2.0000803,
se67,7.737e+10,6.631e+10,1.246e+09,0,1.936e+10,3.962e+08,0,4.220e+09,1.501e+08,0,1,3606684,21451.096,2.1814861,
se75,2.096e+11,1.587e+11,6.014e+09,9.883e+09,4.337e+10,1.309e+09,2.772e+09,8.223e+09,4.020e+08,9.870e+08,1,4167178.8,50306.531,1.9695873,
se81,3.986e+11,2.715e+11,1.073e+10,1.460e+10,7.600e+10,1.033e+09,3.156e+09,1.370e+10,2.286e+08,1.042e+09,1,4364166.5,91341.645,1.8757831,
se87,6.660e+11,4.367e+11,2.691e+10,1.738e+10,1.273e+11,7.147e+09,4.781e+09,2.214e+10,4.305e+09,1.523e+09,1,4483264,148541.54,1.8323231,
se92,1.041e+12,6.473e+11,4.822e+10,1.382e+10,1.995e+11,1.308e+10,4.451e+09,3.493e+10,4.198e+09,1.025e+09,1,4665882.5,223127.94,1.8477664,
se95,1.115e+12,6.756e+11,4.010e+10,1.669e+10,2.178e+11,1.321e+10,4.079e+09,4.005e+10,6.526e+09,9.874e+08,1,4677280.5,238304.11,1.8220804,
sk04,5.140e+11,3.772e+11,1.208e+09,2.188e+10,1.165e+11,4.457e+08,1.234e+10,1.847e+10,67337752,4.925e+09,1,1858476.3,276549.02,2.8974392,
sk07,7.145e+11,5.226e+11,2.020e+09,5.708e+10,1.271e+11,5.231e+08,2.206e+10,0,0,0,1,1891896.6,377741.23,2.8579638,
sk10,2.756e+10,2.025e+10,81058520,2.244e+09,6.003e+09,11779691,8.674e+08,1.201e+09,728167.69,2.293e+08,1,1911664,14421.633,2.8208127,
sk13,2.909e+10,2.187e+10,62338940,3.065e+09,6.541e+09,10985479,9.574e+08,1.424e+09,1383887.3,2.115e+08,1,1851669.3,15710.324,2.818007,
sk92,1.559e+11,1.064e+11,1.915e+08,7.983e+09,2.835e+10,77554144,4.474e+09,5.500e+09,45532796,2.120e+09,1,1784046.5,87391.588,2.98399,
sk96,2.237e+11,1.563e+11,5.310e+08,1.071e+10,4.475e+10,2.051e+08,4.485e+09,8.744e+09,24020812,1.742e+09,1,1841664.8,121481.09,2.9161918,
uk04,7.731e+11,5.737e+11,2.725e+10,6.814e+10,1.922e+11,8.319e+09,3.281e+10,0,2.256e+08,5.944e+08,1,25267068,30927.992,2.3256311,
uk07,8.919e+11,6.594e+11,3.789e+10,7.496e+10,2.329e+11,1.324e+10,3.536e+10,5.339e+10,5.644e+09,1.420e+10,1,26061254,34223.157,2.2957079,
uk10,9.575e+11,6.900e+11,3.233e+10,7.604e+10,2.577e+11,1.101e+10,3.636e+10,6.306e+10,3.345e+09,1.723e+10,1,26653212,35925.924,2.2902055,
uk13,1.048e+12,7.504e+11,3.738e+10,7.913e+10,2.725e+11,1.213e+10,3.288e+10,6.554e+10,1.793e+09,9.610e+09,1,27057704,38719.795,2.3230627,
uk69,2.448e+10,2.040e+10,9.954e+08,1.800e+09,4.831e+09,5.033e+08,7.248e+08,9.253e+08,2.917e+08,2.441e+08,1,15693339,1559.6367,3.5340471,
uk74,5.536e+10,4.605e+10,1.881e+09,4.354e+09,1.147e+10,6.292e+08,1.768e+09,2.357e+09,2.705e+08,8.175e+08,1,19838710,2790.5506,2.8340552,
uk79,1.269e+11,9.851e+10,3.513e+09,6.119e+09,2.609e+10,8.808e+08,1.803e+09,4.437e+09,3.119e+08,6.232e+08,1,20806878,6097.5955,2.7023757,
uk86,2.473e+11,1.747e+11,1.094e+10,1.630e+10,5.523e+10,2.964e+09,6.244e+09,9.837e+09,1.183e+09,1.675e+09,1,22223574,11129.52,2.5536361,
uk91,4.111e+11,3.006e+11,2.871e+10,3.244e+10,9.690e+10,9.725e+09,1.372e+10,2.072e+10,4.855e+09,6.789e+09,1,23370396,17591.976,2.4081748,
uk94,4.556e+11,3.294e+11,1.647e+10,4.327e+10,1.165e+11,5.001e+09,2.098e+10,2.794e+10,1.747e+09,9.620e+09,1,23141000,19689.888,2.4015436,
uk95,4.478e+11,3.214e+11,2.117e+10,5.504e+10,1.101e+11,6.347e+09,2.947e+10,2.348e+10,2.286e+09,1.189e+10,1,22493722,19907.108,2.4272735,
uk99,5.860e+11,4.304e+11,2.420e+10,5.317e+10,1.532e+11,8.252e+09,2.890e+10,3.854e+10,2.994e+09,1.511e+10,1,23896224,24524.515,2.3690755,
us00,6.204e+12,5.043e+12,3.779e+11,3.518e+11,1.703e+12,1.656e+11,1.779e+11,5.118e+11,3.782e+10,7.213e+10,1,1.083e+08,57291.814,2.5534177,
us04,6.936e+12,5.599e+12,3.379e+11,3.458e+11,1.920e+12,1.469e+11,1.470e+11,5.481e+11,3.426e+10,5.132e+10,1,1.135e+08,61126.526,2.5330606,
us07,7.990e+12,6.441e+12,4.519e+11,4.198e+11,2.153e+12,1.918e+11,1.792e+11,5.926e+11,3.879e+10,6.270e+10,1,1.169e+08,68361.231,2.5059297,
us10,8.180e+12,6.413e+12,3.530e+11,3.716e+11,2.243e+12,1.422e+11,1.653e+11,5.849e+11,3.064e+10,6.323e+10,1,1.187e+08,68888.641,2.5086544,
us13,9.054e+12,7.116e+12,4.550e+11,3.739e+11,2.535e+12,2.052e+11,1.622e+11,6.931e+11,5.071e+10,5.871e+10,1,1.231e+08,73579.657,2.4866056,
us16,1.060e+13,8.274e+12,6.475e+11,4.141e+11,2.986e+12,2.681e+11,1.679e+11,8.461e+11,4.353e+10,5.538e+10,1,1.265e+08,83775.954,2.4650807,
us74,9.222e+11,7.777e+11,4.479e+10,7.044e+10,2.072e+11,1.785e+10,3.549e+10,4.003e+10,9.102e+09,1.296e+10,1,71068424,12976.625,2.956651,
us79,1.562e+12,1.277e+12,8.932e+10,1.087e+11,3.523e+11,3.261e+10,4.974e+10,6.630e+10,1.337e+10,1.725e+10,1,79367808,19684.579,2.745151,
us86,2.769e+12,2.208e+12,1.974e+11,1.609e+11,6.549e+11,6.881e+10,6.976e+10,1.319e+11,2.567e+10,2.367e+10,1,89835680,30818.67,2.6384122,
us91,3.659e+12,2.882e+12,2.513e+11,2.229e+11,8.601e+11,9.661e+10,9.991e+10,1.748e+11,3.211e+10,2.613e+10,1,95988600,38115.921,2.5942893,
us94,4.294e+12,3.427e+12,2.380e+11,2.293e+11,1.150e+12,9.619e+10,1.039e+11,3.214e+11,2.508e+10,3.392e+10,1,99087648,43333.145,2.6015799,
us97,5.123e+12,4.073e+12,3.538e+11,2.912e+11,1.355e+12,1.614e+11,1.394e+11,4.021e+11,3.893e+10,5.595e+10,1,1.026e+08,49936.551,2.5751555,

